iter	RMSE
0	0.1998446554
1	0.1866667023
2	0.1729423641
3	0.1609060393
4	0.1501607987
5	0.1402213696
6	0.1309798181
7	0.1221368366
8	0.1139321688
9	0.1065298264
10	0.09952993887
11	0.09281826994
12	0.08711624669
13	0.08174670772
14	0.07811850301
15	0.0739168227
16	0.06980863478
17	0.06642145484
18	0.06326296842
19	0.06026300489
20	0.05773499527
21	0.05553567102
22	0.05302997997
23	0.05095640645
24	0.04893159728
25	0.04738140683
26	0.04595609738
27	0.04425123401
28	0.04290855304
29	0.04190401696
30	0.04101792895
31	0.04019056022
32	0.0392016447
33	0.03846064267
34	0.03771317505
35	0.03691140197
36	0.0362360892
37	0.03571860766
38	0.03500210047
39	0.03467894603
40	0.03407197557
41	0.0336828398
42	0.03339766016
43	0.03276355772
44	0.03222098999
45	0.03201336271
46	0.03156191652
47	0.03115023262
48	0.03067254642
49	0.03045662524
50	0.0302031401
51	0.02977712472
52	0.02937229622
53	0.02906451619
54	0.02891357647
55	0.02869639299
56	0.02845189477
57	0.02812771345
58	0.02793447969
59	0.02766021343
60	0.02749263277
61	0.02721190884
62	0.0270844288
63	0.02695542877
64	0.0265317112
65	0.02627832594
66	0.02615584563
67	0.02603529875
68	0.02575947355
69	0.02544740852
70	0.02516400416
71	0.02494127155
72	0.02478038187
73	0.02453898622
74	0.02435447254
75	0.02419751992
76	0.02398966355
77	0.02378854753
78	0.02365534897
79	0.02346008566
80	0.02336135208
81	0.02325622001
82	0.02315417385
83	0.0230782282
84	0.02279732327
85	0.02258639633
86	0.02244221968
87	0.02232003712
88	0.02221140258
89	0.02205255574
90	0.02189526117
91	0.02183286391
92	0.02167990596
93	0.02160562888
94	0.02154166262
95	0.02134218288
96	0.02125905998
97	0.02112650838
98	0.0209857433
99	0.02083398747
100	0.02075712152
101	0.02057212078
102	0.02048310183
103	0.02037517984
104	0.02030951837
105	0.02021468258
106	0.02015660478
107	0.02008345837
108	0.01993499542
109	0.01985895314
110	0.01978779423
111	0.01969521997
112	0.01956851193
113	0.01951120091
114	0.01938280295
115	0.01931493491
116	0.01917856269
117	0.01908415992
118	0.0189623035
119	0.0188979519
120	0.01878300041
121	0.01872932634
122	0.01869131033
123	0.01865152845
124	0.01858698649
125	0.01853674321
126	0.01846292287
127	0.0184096154
128	0.01829782811
129	0.01822844005
130	0.01813473906
131	0.01802125135
132	0.01794663436
133	0.01777138349
134	0.01769464079
135	0.01752016332
136	0.01744316963
137	0.01736812906
138	0.01730960296
139	0.01727473867
140	0.01714660351
141	0.01708026287
142	0.01700431857
143	0.0169648298
144	0.01689547787
145	0.01680871859
146	0.01676876069
147	0.01672016958
148	0.01662764324
149	0.0165604753
150	0.01648829997
151	0.0164468216
152	0.01638981599
153	0.01634582278
154	0.0163053076
155	0.01623374847
156	0.01617511163
157	0.01606792342
158	0.01604448602
